Vertical Sample,Distance,Horizontal Sample
SG #27,NA,SG #1
SG #27,NA,SG #4a
SG #27,NA,SG #6
SG #27,NA,SG #8
SG #27,NA,SG #9
SG #27,NA,SG #10
SG #27,NA,SG #13
SG #27,NA,SG #14
SG #27,NA,SG #15
SG #27,NA,SG #17
SG #27,NA,SG #20a
SG #27,NA,SG #21
SG #27,NA,SG #22
SG #27,NA,SG #23
SG #27,NA,SG #24
SG #27,NA,SG #28
SG #27,NA,SG #29
SG #27,NA,SG #30
SG #28,2.5,SG #1
SG #28,1.7,SG #4a
SG #28,2.5,SG #6
SG #28,2,SG #8
SG #28,0.9,SG #9
SG #28,0.1,SG #10
SG #28,0.4,SG #13
SG #28,2.2,SG #14
SG #28,0.25,SG #15
SG #28,1.1,SG #17
SG #28,1.4,SG #20a
SG #28,NA,SG #21
SG #28,NA,SG #22
SG #28,0.2,SG #23
SG #28,0.6,SG #24
SG #28,2.5,SG #27
SG #28,1.2,SG #29
SG #28,2.5,SG #30
SG #29,0.2,SG #1
SG #29,NA,SG #4a
SG #29,0.5,SG #6
SG #29,0.3,SG #8
SG #29,NA,SG #9
SG #29,0.3,SG #10
SG #29,NA,SG #13
SG #29,NA,SG #14
SG #29,NA,SG #15
SG #29,1.6,SG #17
SG #29,NA,SG #20a
SG #29,NA,SG #23
SG #29,NA,SG #24
SG #29,NA,SG #27
SG #29,0.5,SG #28
SG #29,1.1,SG #30
SG #30,NA,SG #1
SG #30,NA,SG #4a
SG #30,0.3,SG #6
SG #30,NA,SG #8
SG #30,0.6,SG #9
SG #30,NA,SG #10
SG #30,NA,SG #13
SG #30,NA,SG #14
SG #30,0.5,SG #15
SG #30,NA,SG #17
SG #30,0.5,SG #20a
SG #30,0.8,SG #23
SG #30,NA,SG #24
SG #30,0.4,SG #27
SG #30,0.7,SG #28
SG #30,0.8,SG #29
SG #21,NA,SG #6
SG #21,NA,SG #8
SG #21,NA,SG #9
SG #4a,NA,SG #10
SG #8,NA,SG #10
SG #21,NA,SG #13
SG #14,NA,SG #17
SG #13,NA,SG #22
SG #14,NA,SG #22
SG #21,NA,SG #22
SG #29,NA,SG #22
SG #30,NA,SG #22
SG #21,NA,SG #23
SG #21,NA,SG #24
SG #14,NA,SG #27
SG #21,NA,SG #27
SG #21,NA,SG #28
SG #14,NA,SG #29
SG #30,NA,SG #29
SG #10,NA,SG #30
SG #14,NA,SG #30
